2025-06-01 05:24:55 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:24:55 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:24:57 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:24:57 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:24:58 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:24:58 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:24:59 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:24:59 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:00 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:00 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:00 - User ID: 1003, Last Time: 1748748000
2025-06-01 05:25:00 - Sending back latest timestamp: 1748769790, Messages: 5
2025-06-01 05:25:01 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:01 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:02 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:02 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:03 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:03 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:04 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:04 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:05 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:05 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:06 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:06 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:07 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:07 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:08 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:08 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:09 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:09 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:10 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:10 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:11 - User ID: 1003, Last Time: 1748769790
2025-06-01 05:25:11 - Sending back latest timestamp: 1748769790, Messages: 0
2025-06-01 05:25:12 - User ID: 1003, Last Time: 1748769790
